Nome,Empresa/Autor,Categoria,Classe,Open Source,Licenca,Entrega,Web Scan,API Scan,Cloud/K8s,CLI,CI/CD,Auth avancada,Status,Ano,Link,Observacoes
plecost,iniqua,Scanner de plugins WordPress,OSS,S,BSD,CLI,S,N,N,S,N,N,Abandonado,2009,https://github.com/iniqua/plecost,Historico
WPProbe,Chocapikk,Enumeracao rapida de plugins WP,OSS,S,MIT,CLI,S,N,N,S,P,N,Ativo,2025,https://github.com/Chocapikk/WPProbe,Via REST API do WordPress
crawlergo,Qianlitp,Crawler headless para scanners,OSS,S,OSS,CLI,S,P,N,S,S,S,Manutencao,2020,https://github.com/Qianlitp/crawlergo,"~3k stars; Chrome headless, ideal para SPA"
katana,ProjectDiscovery,Crawler moderno (headless),OSS,S,MIT,CLI/Docker,S,S,S,S,S,S,Ativo,2022,https://github.com/projectdiscovery/katana,Alimenta Nuclei DAST
gospider / hakrawler,jaeles-project / hakluke,Crawlers rapidos,OSS,S,MIT,CLI,S,P,N,S,S,N,Manutencao,2020,https://github.com/jaeles-project/gospider,Descoberta de URLs
httpx,ProjectDiscovery,Probing HTTP em escala,OSS,S,MIT,CLI,S,S,S,S,S,N,Ativo,2020,https://github.com/projectdiscovery/httpx,Base de pipelines DAST
Playwright / Puppeteer (custom DAST),Microsoft / Google,Automacao de browser para testes,OSS,S,Apache-2.0 / Apache-2.0,Lib,S,P,S,S,S,S,Ativo,2020 / 2017,https://playwright.dev/,Base para autenticacao complexa e crawling de SPA em DAST
Selenium/WebDriver,Selenium,Automacao de browser,OSS,S,Apache-2.0,Lib,S,N,S,S,S,S,Ativo,2004,https://www.selenium.dev/,Scripts de autenticacao em varios DAST comerciais
Wappalyzer / WhatWeb,Wappalyzer / urbanadventurer,Fingerprint de tecnologias,OSS/Comercial,P,GPL-2.0 (WhatWeb),CLI/Extensao,S,P,N,S,S,N,Ativo,2009,https://github.com/urbanadventurer/WhatWeb,Contexto para escolha de payloads
wsltools,Symbo1,Toolkit Python para scan web,OSS,S,OSS,Lib/CLI,S,P,N,S,P,N,Manutencao,2020,https://github.com/Symbo1/wsltools,~318 stars
kube-hunter,Aqua Security,Pentest dinamico de cluster K8s,OSS,S,Apache-2.0,CLI/Pod/Docker,N,S,S,S,P,N,Manutencao/Arquivado,2018,https://github.com/aquasecurity/kube-hunter,Modo remoto/interno/pod; Aqua reduziu manutencao - validar antes de usar
Peirates,InGuardians,Exploracao de Kubernetes,OSS,S,Apache-2.0,CLI,N,S,S,S,N,P,Ativo,2019,https://github.com/inguardians/peirates,Escalada de privilegio dentro de pods
kubesploit,CyberArk,C2/pentest para containers,OSS,S,GPL-3.0,CLI,N,S,S,S,N,N,Manutencao,2021,https://github.com/cyberark/kubesploit,Baseado no Merlin
KubiScan,CyberArk,Analise de RBAC arriscado,OSS,S,GPL-3.0,CLI,N,S,S,S,P,N,Manutencao,2019,https://github.com/cyberark/KubiScan,Posture (nao DAST puro)
Kubestriker,Vasant Kumar Chinnipilli,Pentest de K8s,OSS,S,Apache-2.0,CLI,N,S,S,S,P,N,Manutencao,2021,https://github.com/vchinnipilli/kubestriker,Multi-cloud (EKS/AKS/GKE)
CDK (Container DucK),cdk-team,Toolkit de escape de container,OSS,S,Apache-2.0,Binario,N,S,S,S,N,N,Ativo,2021,https://github.com/cdk-team/CDK,Zero-dependency; enumeracao e exploracao
Break out the Box (BOtB),brompwnie,Escape de container,OSS,S,Apache-2.0,CLI,N,S,S,S,S,N,Manutencao,2019,https://github.com/brompwnie/botb,Automatiza checagens de escape
deepce,stealthcopter,Docker enumeration & escalation,OSS,S,GPL-3.0,Shell,N,S,S,S,N,N,Manutencao,2021,https://github.com/stealthcopter/deepce,Script leve dentro do container
amicontained,Jess Frazelle,Introspeccao de sandbox de container,OSS,S,MIT,CLI,N,P,S,S,N,N,Manutencao,2017,https://github.com/genuinetools/amicontained,Capabilities/seccomp em runtime
kdigger,quarkslab,Toolkit de descoberta em pods,OSS,S,Apache-2.0,CLI,N,S,S,S,N,N,Ativo,2021,https://github.com/quarkslab/kdigger,Contexto para pentest de K8s
Deepfence ThreatMapper,Deepfence,Descoberta + scan de runtime cloud native,OSS,S,Apache-2.0,K8s/Docker,P,P,S,S,S,N,Ativo,2020,https://github.com/deepfence/ThreatMapper,Topologia + vulnerabilidades em runtime
Deepfence ThreatStryker,Deepfence,Protecao/testes runtime,Enterprise,N,Comercial,K8s,P,P,S,S,S,N,Ativo,2021,https://deepfence.io/,Versao comercial
Stratus Red Team,DataDog,Emulacao de ataques cloud,OSS,S,Apache-2.0,CLI,N,P,S,S,S,N,Ativo,2021,https://github.com/DataDog/stratus-red-team,AWS/Azure/GCP/K8s - testa deteccao
Halberd,Vectra AI,Emulacao multi-cloud de ataques,OSS,S,Apache-2.0,Web/CLI,N,P,S,S,P,N,Ativo,2024,https://github.com/vectra-ai-research/Halberd,Entra ID/AWS/Azure/M365
Pacu,Rhino Security Labs,Framework de exploracao AWS,OSS,S,BSD-3,CLI,N,P,S,S,N,N,Ativo,2018,https://github.com/RhinoSecurityLabs/pacu,Pentest ofensivo em AWS
Leonidas,F-Secure/WithSecure,Framework de simulacao de ataques cloud,OSS,S,Apache-2.0,YAML/CLI,N,P,S,S,S,N,Manutencao,2020,https://github.com/WithSecureLabs/leonidas,Casos de ataque como codigo
ScoutSuite / Prowler / CloudSploit,NCC Group / Prowler / Aqua,"CSPM (posture, nao DAST)",OSS,S,GPL/Apache,CLI,N,N,S,S,S,N,Ativo,2018 / 2016,https://github.com/prowler-cloud/prowler,Incluidos para delimitar escopo: sao CSPM
NodeZero Kubernetes Pentest,Horizon3.ai,Pentest autonomo de K8s,Enterprise,N,Comercial,SaaS+agente,P,S,S,S,S,P,Ativo,2023,https://horizon3.ai/,Explora caminhos de ataque reais no cluster
Aqua / Prisma Cloud / Wiz / Orca / Lacework (CNAPP),Diversos,CNAPP com testes de exposicao,Enterprise,N,Comercial,SaaS,P,P,S,S,S,N,Ativo,2015-2020,https://www.wiz.io/,Alguns oferecem validacao dinamica de exposicao externa; nao substituem DAST
nginxpwner,stark0de,Teste de misconfig do Nginx,OSS,S,OSS,CLI,S,N,S,S,N,N,Manutencao,2021,https://github.com/stark0de/nginxpwner,Ingress/proxy
Kubernetes Goat / OWASP WrongSecrets / crAPI / Juice Shop / DVWA / VAmPI / WebGoat,Comunidade/OWASP,Alvos de laboratorio,OSS,S,MIT/Apache/GPL,Docker/K8s,S,S,S,S,S,S,Ativo,2006-2022,https://owasp.org/www-project-juice-shop/,Essenciais para benchmark/tuning de DAST
OWASP Benchmark / ant-application-security-testing-benchmark,OWASP / Alipay,Benchmarks para AST,OSS,S,Apache-2.0,Java,S,S,N,S,S,N,Ativo,2015 / 2021,https://github.com/alipay/ant-application-security-testing-benchmark,~485 stars; avaliacao objetiva de scanners
MobSF (Dynamic Analyzer),Ajin Abraham,Analise dinamica mobile + API,OSS,S,GPL-3.0,Self-hosted/Docker,P,S,P,S,S,P,Ativo,2015,https://github.com/MobSF/Mobile-Security-Framework-MobSF,Instrumenta app em emulador e testa trafego/API
Ostorlab,Ostorlab,Scanner mobile/web/API,Freemium,P,Apache-2.0 (OXO) + SaaS,SaaS+OSS,S,S,S,S,S,P,Ativo,2016,https://github.com/Ostorlab/oxo,OXO e o orquestrador OSS de scanners
NowSecure Platform,NowSecure,DAST mobile,Enterprise,N,Comercial,SaaS,P,S,P,S,S,S,Ativo,2009,https://www.nowsecure.com/,Analise dinamica em dispositivos reais
Appknox,Appknox,DAST mobile,Startup,N,Comercial,SaaS,P,S,N,S,S,P,Ativo,2014,https://www.appknox.com/,DAST + API testing mobile
Quixxi,Quixxi,Scan mobile,Startup,N,Freemium,SaaS,P,S,N,P,P,N,Ativo,2015,https://quixxi.com/,Mobile app security
Corellium,Corellium,Virtualizacao ARM para testes dinamicos,Enterprise,N,Comercial,SaaS/On-prem,N,S,N,S,P,S,Ativo,2017,https://www.corellium.com/,Base para DAST mobile avancado
Frida / Objection,Ole Andre Ravnas / SensePost,Instrumentacao dinamica,OSS,S,wxWindows/GPL,CLI/Lib,P,S,N,S,P,S,Ativo,2013 / 2017,https://frida.re/,Bypass de SSL pinning para testar backend
RouterSploit,Threat9,Exploracao de dispositivos embarcados,OSS,S,BSD-3,CLI,P,N,N,S,N,N,Manutencao,2016,https://github.com/threat9/routersploit,IoT/roteadores
EMBA,EMBA team (Siemens Energy),Analise de firmware (estatica+dinamica),OSS,S,GPL-3.0,CLI/Docker,P,P,N,S,S,N,Ativo,2020,https://github.com/e-m-b-a/emba,~3.5k stars; inclui emulacao dinamica (EMBArk)
FirmAE / Firmadyne,pr0v3rbs / firmadyne,Emulacao dinamica de firmware,OSS,S,MIT/OSS,CLI,P,P,N,S,N,N,Manutencao,2019 / 2015,https://github.com/pr0v3rbs/FirmAE,Permite rodar DAST contra a interface web do firmware
expliot,EXPLIoT,Framework de pentest IoT,OSS,S,AGPL-3.0,CLI,P,S,N,S,N,N,Manutencao,2018,https://gitlab.com/expliot_framework/expliot,BLE/MQTT/CoAP/Zigbee/Modbus
mqtt-pwn / MQTTSA,akamai-threat-research / academico,Teste dinamico de brokers MQTT,OSS,S,MIT/OSS,CLI,N,S,S,S,N,P,Manutencao,2018,https://github.com/akamai-threat-research/mqtt-pwn,IoT/edge messaging
smod / Modbus fuzzers,enddo e outros,Teste de ICS/Modbus,OSS,S,GPL,CLI,N,S,N,S,N,N,Abandonado,2016,https://github.com/enddo/smod,OT/ICS
Sweyntooth / BtleJuice / Gattacker,academico / DigitalSecurity,Testes dinamicos BLE,OSS,S,MIT/GPL,CLI,N,S,N,S,N,N,Manutencao,2016-2020,https://github.com/DigitalSecurity/btlejuice,MITM e fuzzing Bluetooth LE
Mercedes-Benz SecHub,Mercedes-Benz Tech Innovation,API central para orquestrar scanners,OSS,S,MIT,Self-hosted/K8s,S,S,S,S,S,P,Ativo,2020,https://github.com/mercedes-benz/sechub,"~353 stars; integra ZAP, Nessus, Checkmarx etc"
DefectDojo,OWASP / DefectDojo Inc,ASPM/agregacao de achados,OSS,S,BSD-3,Self-hosted/Docker/K8s/Helm,S,S,S,S,S,N,Ativo,2013,https://github.com/DefectDojo/django-DefectDojo,Importa relatorios de ~180 scanners DAST/SAST
Faraday,Faraday Security (Argentina),Plataforma colaborativa de pentest/VM,OSS/Comercial,P,GPL-3.0 + Comercial,Self-hosted/Docker,S,S,S,S,S,N,Ativo,2010,https://github.com/infobyte/faraday,Agentes executam scanners DAST e centralizam
ArcherySec,ArcherySec,Orquestracao SAST/DAST,OSS,S,Apache-2.0,Self-hosted/Docker,S,P,P,S,S,N,Manutencao,2018,https://github.com/archerysec/archerysec,Agenda scans ZAP/OpenVAS
ThreatPlaybook,we45,Threat modeling as code + orquestracao DAST,OSS,S,MIT,CLI/Python,S,S,N,S,S,N,Abandonado,2018,https://github.com/we45/ThreatPlaybook,~282 stars
SecObserve,MaibornWolff,Gestao de achados (OSS),OSS,S,BSD-3,Docker/K8s,S,S,S,S,S,N,Ativo,2023,https://github.com/MaibornWolff/SecObserve,Alternativa moderna ao DefectDojo
Dracon,Ocurity/OWASP,Pipeline de seguranca cloud-native,OSS,S,Apache-2.0,K8s/Tekton,S,S,S,S,S,N,Manutencao,2019,https://github.com/ocurity/dracon,Orquestra scanners como jobs Tekton
Jackhammer,Olacabs,Orquestrador de scanners,OSS,S,MIT,Self-hosted,S,P,N,S,P,N,Abandonado,2018,https://github.com/olacabs/jackhammer,Arquivado
OWASP Glue,OWASP,Cola entre scanners e CI,OSS,S,Apache-2.0,CLI,S,P,N,S,S,N,Abandonado,2016,https://github.com/OWASP/glue,Arquivado
Reapsaw,Dow Jones,Pipeline DevSecOps,OSS,S,Apache-2.0,Docker,S,P,N,S,S,N,Abandonado,2019,https://github.com/dowjones/reapsaw,Arquivado
Purple Knight / outros agregadores,Diversos,Agregacao,Diversos,P,Diversas,Diversas,P,P,P,P,P,N,Ativo,2020,https://www.purple-knight.com/,Fora do escopo estrito de DAST web
ZAP GitHub Actions (baseline/full-scan/api-scan),ZAP Dev Team,DAST em GitHub Actions,OSS,S,Apache-2.0,GitHub Action,S,S,S,S,S,P,Ativo,2019,https://github.com/zaproxy/action-full-scan,~381/364 stars; padrao de mercado para DAST em CI gratuito
Dastardly GitHub Action,PortSwigger,DAST em CI,OSS,S,Gratuito,GitHub Action,S,N,N,S,S,N,Ativo,2022,https://github.com/PortSwigger/dastardly-github-action,~296 stars
ZAP Jenkins Plugin / official-zap,Comunidade Jenkins,DAST em Jenkins,OSS,S,MIT,Plugin,S,S,N,S,S,P,Manutencao,2016,https://plugins.jenkins.io/zap/,Automacao de scans no Jenkins
OWASP ZAP Azure DevOps extension,Comunidade,DAST em Azure Pipelines,OSS,S,MIT,Extensao,S,S,N,S,S,P,Manutencao,2018,https://marketplace.visualstudio.com/,Marketplace Azure DevOps
StackHawk GitHub Action / CircleCI orb,StackHawk,DAST em CI,OSS,S,Apache-2.0,Action/Orb,S,S,S,S,S,S,Ativo,2020,https://github.com/marketplace/actions/stackhawk-hawkscan-action,Integracao dev-first
Bright Security GitHub App / bright-cli,Bright Security,DAST em CI/CD,OSS,S,MIT (CLI),CLI/Action,S,S,S,S,S,S,Ativo,2019,https://github.com/NeuraLegion/bright-cli,Marketplace GitHub
"Invicti / Acunetix plugins (Jenkins, Azure DevOps, TeamCity, Bamboo)",Invicti,DAST em CI,Enterprise,N,Comercial,Plugin,S,S,N,S,S,S,Ativo,2015,https://www.invicti.com/support/,Cobertura ampla de CI
Qualys WAS CI/CD plugins (Jenkins/Azure DevOps/Bamboo),Qualys,DAST em CI,Enterprise,N,Comercial,Plugin,S,S,P,S,S,S,Ativo,2016,https://www.qualys.com/documentation/,Gating de build
Checkmarx One CLI/plugins,Checkmarx,AST em CI e IDE,Enterprise,N,Comercial,CLI/Plugin,S,S,S,S,S,S,Ativo,2021,https://checkmarx.com/,"VS Code, JetBrains, Jenkins, GitHub, GitLab, ADO"
Nuclei GitHub Action,ProjectDiscovery,Scan por templates em CI,OSS,S,MIT,GitHub Action,S,S,S,S,S,N,Ativo,2021,https://github.com/projectdiscovery/nuclei-action,Facil de plugar em pipelines
SecureStack actions-exposure / actions-all-in-one,SecureStack,Scan pos-deploy em CI,OSS,S,OSS,GitHub Action,S,P,S,S,S,N,Manutencao,2021,https://github.com/SecureStackCo/actions-exposure,~27/21 stars
Burp Suite DAST Jenkins/TeamCity plugins,PortSwigger,DAST em CI,Enterprise,N,Comercial,Plugin,S,S,S,S,S,S,Ativo,2019,https://portswigger.net/burp/documentation/enterprise,Integracao nativa
Trivy/Grype/Checkov/Terrascan,Aqua/Anchore/Bridgecrew/Tenable,Scanners estaticos (delimitacao),OSS,S,Apache-2.0,CLI,N,N,S,S,S,N,Ativo,2018-2020,https://github.com/aquasecurity/trivy,NAO sao DAST; incluidos para separar escopo em pipelines
EvoMaster,Andrea Arcuri (Kristiania/Oslo Met),Geracao evolutiva de testes de API,OSS/Academico,S,LGPL-3.0,CLI/Java,N,S,N,S,S,P,Ativo,2016,https://github.com/WebFuzzing/EvoMaster,White-box e black-box para REST/GraphQL/RPC
RESTest,Universidad de Sevilla,Geracao automatica de testes REST,OSS/Academico,S,Apache-2.0,Java,N,S,N,S,S,N,Manutencao,2019,https://github.com/isa-group/RESTest,Constraint-based testing
RestTestGen,Universita di Napoli,Testes automatizados de REST,OSS/Academico,S,Apache-2.0,Java,N,S,N,S,P,N,Manutencao,2019,https://github.com/SeUniVr/RestTestGen,Operation dependency graph
Morest / MINER / Pythia / foREST,Diversos grupos academicos,Fuzzers REST de pesquisa,Academico,P,Diversas,Codigo de pesquisa,N,S,N,S,N,N,Pesquisa,2020-2023,https://github.com/,Estado da arte em fuzzing de REST; codigo nem sempre publicado
bBOXRT,Universidade de Coimbra,Black-box robustness testing de REST,Academico,S,OSS,Java,N,S,N,S,N,N,Pesquisa,2020,https://github.com/nmsa/bBOXRT,Robustez e seguranca de APIs REST
Black Widow,Chalmers (Eriksson et al.),Crawler/scanner com modelagem de estado,Academico,S,OSS,Python,S,N,N,S,N,P,Pesquisa,2021,https://github.com/SecuringWeb/BlackWidow,Cobertura superior a scanners comerciais em benchmark
Enemy of the State,UCSB (Doupe et al.),Scanner state-aware,Academico,P,OSS,Python,S,N,N,S,N,P,Pesquisa,2012,https://github.com/adamdoupe/enemy-of-the-state,Marco academico em DAST
jAEk / jÄk,academico,Crawler JS-aware,Academico,S,OSS,Python,S,N,N,S,N,N,Pesquisa,2015,https://github.com/,Crawling dinamico de JS
NAVEX,academico (Purdue),Exploracao guiada por navegacao,Academico,P,OSS,Misto,S,N,N,S,N,N,Pesquisa,2018,https://github.com/,Geracao automatica de exploits web
Witcher,ASU (SEFCOM),Fuzzing de aplicacoes web (SQLi/CI),Academico,S,OSS,Docker,S,P,N,S,N,N,Pesquisa,2023,https://github.com/sefcom/Witcher,Coverage-guided para web apps
Deemon,academico (Pellegrino et al.),Deteccao de CSRF por modelo,Academico,S,OSS,Python,S,N,N,S,N,S,Pesquisa,2017,https://github.com/,Property-based CSRF
PentestGPT,GreyDGL (NTU),Agente LLM para pentest,OSS/Academico,S,MIT,CLI,S,S,P,S,N,P,Ativo,2023,https://github.com/GreyDGL/PentestGPT,Pioneiro em LLM para pentest
hackingBuddyGPT,IPA Lab (Austria),Agente LLM minimalista,OSS/Academico,S,MIT,CLI,S,P,P,S,N,N,Ativo,2023,https://github.com/ipa-lab/hackingBuddyGPT,Pesquisa reprodutivel
CAI (Cybersecurity AI),Alias Robotics,Framework de agentes ofensivos,OSS,S,MIT,CLI,S,S,S,S,P,P,Ativo,2025,https://github.com/aliasrobotics/cai,Bom desempenho em CTFs/bug bounty
Strix,Strix,Plataforma agentica de pentest,OSS,S,Apache-2.0,CLI/Docker,S,S,P,S,S,P,Novo,2025,https://github.com/usestrix/strix,Agentes que rodam ferramentas reais
PentAGI,vxcontrol,Multi-agente autonomo,OSS,S,MIT,Docker,S,S,P,S,P,P,Novo,2024,https://github.com/vxcontrol/pentagi,4 sub-agentes especializados
VulnBot / ARACNE / HackSynth / xOffense / D-CIPHER / CHECKMATE,Grupos academicos,Agentes LLM de pentest,Academico,P,Diversas,CLI,S,P,P,S,N,N,Pesquisa,2024-2026,https://github.com/,Publicados com papers; maturidade variavel
NeuroSploit,"CyberSecurityUP (Joas Santos, BR)",Agentes de pentest em container,OSS,S,MIT,Docker,S,S,P,S,P,N,Novo,2025,https://github.com/CyberSecurityUP/NeuroSploit,Projeto brasileiro
Raptor,Gadi Evron et al.,Pentest agentico nativo em Claude Code,OSS,S,OSS,CLI,S,S,P,S,N,N,Novo,2025,https://github.com/,Agente sobre ferramentas existentes
Atlantis / Buttercup / ARTIPHISHELL,Team Atlanta / Trail of Bits / Shellphish,Sistemas de ciber-raciocinio (DARPA AIxCC),OSS/Academico,S,Diversas (OSS pos-AIxCC),Cluster,P,P,S,S,S,N,Ativo,2024-2025,https://github.com/trailofbits/buttercup,Descoberta e correcao automatica de vulns
DeepAudit,lintsinghua,Multi-agente para descoberta de vulns,OSS,S,OSS,Python,P,P,N,S,P,N,Novo,2025,https://github.com/lintsinghua/DeepAudit,~6.1k stars; verificacao em sandbox
claude-bug-bounty,shuvonsec,Workflow de bug bounty com IA,OSS,S,OSS,CLI,S,S,N,S,N,N,Novo,2025,https://github.com/shuvonsec/claude-bug-bounty,~2.1k stars
Netsparker,Netsparker Ltd,DAST,Descontinuado (rebrand),N,Comercial,On-prem/SaaS,S,S,N,S,S,S,Descontinuado,2009,https://www.invicti.com/,Renomeado para Invicti em 2021
Crashtest Security,Crashtest Security (Alemanha),DAST dev-first,Descontinuado (adquirido),N,Comercial,SaaS,S,S,N,S,S,P,Descontinuado,2015,https://docs.veracode.com/r/crashtest-security-suite,Adquirida pela Veracode; virou DAST Essentials
Tinfoil Security,Synopsys,DAST + API scanning,Descontinuado,N,Comercial,SaaS,S,S,N,S,S,P,Descontinuado,2011,https://www.synopsys.com/,Adquirida (2020) e descontinuada
WhiteHat Sentinel Dynamic,WhiteHat Security,DAST gerenciado,Descontinuado (rebrand),N,Comercial,SaaS,S,P,N,P,S,S,Descontinuado,2001,https://www.blackduck.com/,Hoje Black Duck Continuous Dynamic
IBM Security AppScan,IBM,DAST,Descontinuado (transferido),N,Comercial,On-prem,S,P,N,P,P,S,Descontinuado,1998,https://www.hcl-software.com/appscan,Vendido para a HCL em 2019
Cenzic Hailstorm,Cenzic,DAST,Descontinuado,N,Comercial,On-prem,S,N,N,N,N,P,Descontinuado,2000s,https://www.trustwave.com/,Adquirida pela Trustwave
N-Stalker / N-Stealth,N-Stalker (BR),DAST,Descontinuado,N,Comercial,Desktop,S,N,N,N,N,P,Descontinuado,2000s,http://www.nstalker.com/,Scanner brasileiro historico
GamaScan,GamaSec,DAST SaaS,Descontinuado,N,Comercial,SaaS,S,N,N,N,N,N,Descontinuado,2000s,https://www.gamasec.com/,Sem sinais de atividade
Websecurify Suite / WebReaver / Proxy.app,Websecurify,DAST desktop (macOS),Descontinuado,N,Comercial,Desktop,S,P,N,N,N,P,Descontinuado,2010s,https://suite.websecurify.com/,Sem atualizacoes recentes
GitLab Proxy-based DAST,GitLab,DAST em CI (baseado em ZAP),Descontinuado,P,Comercial,CI/CD,S,P,S,S,S,P,Descontinuado,2018,https://docs.gitlab.com/user/application_security/dast/,Removido em favor do browser-based DAST (v5)
GitLab Coverage-guided fuzz testing,GitLab,Fuzzing em CI,Descontinuado,P,Comercial,CI/CD,N,S,S,S,S,N,Descontinuado,2020,https://docs.gitlab.com/user/application_security/coverage_fuzzing/,Deprecado; herdado da aquisicao da Peach Tech/Fuzzit
Fuzzit,Fuzzit,Fuzzing as a service,Descontinuado,N,Comercial,SaaS,N,S,N,S,S,N,Descontinuado,2018,https://about.gitlab.com/,Adquirida pelo GitLab (2020)
Wikto / Watcher / x5s,SensePost / Casaba,Ferramentas historicas de scan passivo/ativo,Descontinuado,S,GPL/OSS,Desktop,S,N,N,N,N,N,Descontinuado,2005-2010,https://github.com/sensepost/wikto,Valor historico
Ratproxy,Google,Proxy de auditoria passiva,Descontinuado,S,Apache-2.0,CLI,S,N,N,S,N,N,Descontinuado,2008,https://code.google.com/archive/p/ratproxy/,Precursor de scanners passivos
Andiparos,Comunidade,Fork do Paros,Descontinuado,S,Clarified Artistic,Desktop,S,N,N,N,N,P,Descontinuado,2009,https://code.google.com/archive/p/andiparos/,Fork historico
Zed Attack Proxy (fork Google Code),Comunidade,Historico,Descontinuado,S,Apache-2.0,Desktop,S,N,N,N,N,N,Descontinuado,2010,https://www.zaproxy.org/,Migrado para GitHub
SecApps / Websecurify online,SecApps,Suite web de testes,Incerto,N,Freemium,SaaS,S,P,N,N,N,P,Incerto,2010s,https://secapps.com/,Atividade irregular
